state,avg_house_price
Alabama,"$267,100 "
Alaska,"$350,000 "
Arizona,"$435,300 "
Arkansas,"$246,000 "
California,"$793,600 "
Colorado,"$586,100 "
Connecticut,"$424,900 "
Delaware,"$375,000 "
District of Columbia,"$640,000 "
Florida,"$405,000 "
Georgia,"$389,500 "
Hawaii,"$714,100 "
Idaho,"$539,000 "
Illinois,"$266,800 "
Indiana,"$242,500 "
Iowa,"$289,900 "
Kansas,"$263,700 "
Kentucky,"$246,700 "
Louisiana,"$243,300 "
Maine,"$370,000 "
Maryland,"$395,000 "
Massachusetts,"$595,700 "
Michigan,"$238,800 "
Minnesota,"$330,500 "
Mississippi,"$232,800 "
Missouri,"$243,500 "
Montana,"$609,900 "
Nebraska,"$280,400 "
Nevada,"$479,299 "
New Hampshire,"$451,400 "
New Jersey,"$485,900 "
New Mexico,"$358,600 "
New York,"$649,000 "
North Carolina,"$362,200 "
North Dakota,"$334,075 "
Ohio,"$228,000 "
Oklahoma,"$233,900 "
Oregon,"$490,200 "
Pennsylvania,"$268,100 "
Rhode Island,"$455,500 "
South Carolina,"$360,800 "
South Dakota,"$300,200 "
Tennessee,"$418,900 "
Texas,"$336,400 "
Utah,"$548,900 "
Vermont,"$395,800 "
Virginia,"$415,600 "
Washington,"$605,400 "
West Virginia,"$284,000 "
Wisconsin,"$329,000 "
Wyoming,"$317,000 "
